date,signal,price,cash,position,position_value,total_value,daily_pnl
2023-01-03,0.0,3.986999988555908,1000000.0,0,0.0,1000000.0,0.0
2023-01-04,0.0,4.001999855041504,1000000.0,0,0.0,1000000.0,0.0
2023-01-05,0.0,4.000999927520752,1000000.0,0,0.0,1000000.0,0.0
2023-01-06,0.0,3.9719998836517334,1000000.0,0,0.0,1000000.0,0.0
2023-01-09,0.0,4.014999866485596,1000000.0,0,0.0,1000000.0,0.0
2023-01-10,0.0,4.013000011444092,1000000.0,0,0.0,1000000.0,0.0
2023-01-11,0.0,4.025000095367432,1000000.0,0,0.0,1000000.0,0.0
2023-01-12,0.0,4.019000053405762,1000000.0,0,0.0,1000000.0,0.0
2023-01-13,0.0,4.0269999504089355,1000000.0,0,0.0,1000000.0,0.0
2023-01-16,0.0,4.050000190734863,1000000.0,0,0.0,1000000.0,0.0
2023-01-17,0.0,4.065999984741211,1000000.0,0,0.0,1000000.0,0.0
2023-01-18,0.0,4.056000232696533,1000000.0,0,0.0,1000000.0,0.0
2023-01-19,0.0,4.067999839782715,1000000.0,0,0.0,1000000.0,0.0
2023-01-20,0.0,4.10099983215332,1000000.0,0,0.0,1000000.0,0.0
2023-01-30,0.0,4.0960001945495605,1000000.0,0,0.0,1000000.0,0.0
2023-01-31,0.0,4.068999767303467,1000000.0,0,0.0,1000000.0,0.0
2023-02-01,0.0,4.091000080108643,1000000.0,0,0.0,1000000.0,0.0
2023-02-02,0.0,4.125,1000000.0,0,0.0,1000000.0,0.0
2023-02-03,-1.0,4.071000099182129,1000000.0,0,0.0,1000000.0,0.0
2023-02-06,0.0,4.01800012588501,1000000.0,0,0.0,1000000.0,0.0
2023-02-07,0.0,4.010000228881836,1000000.0,0,0.0,1000000.0,0.0
2023-02-08,0.0,4.010000228881836,1000000.0,0,0.0,1000000.0,0.0
2023-02-09,0.0,4.019000053405762,1000000.0,0,0.0,1000000.0,0.0
2023-02-10,0.0,3.993000030517578,1000000.0,0,0.0,1000000.0,0.0
2023-02-13,1.0,4.01800012588501,1.6113117852946743,248631,998999.3892989159,999001.0006107012,-998.9993892988423
2023-02-14,0.0,4.014999866485596,1.6113117852946743,248631,998253.4318041801,998255.0431159654,-745.9574947357178
2023-02-15,0.0,4.001999855041504,1.6113117852946743,248631,995021.2259588242,995022.8372706095,-3232.2058453559875
2023-02-16,0.0,4.000999927520752,1.6113117852946743,248631,994772.6129794121,994774.2242911974,-248.61297941207886
2023-02-17,0.0,3.992000102996826,1.6113117852946743,248631,992534.9776082039,992536.5889199892,-2237.635371208191
2023-02-20,0.0,4.010000228881836,1.6113117852946743,248631,997010.3669071198,997011.978218905,4475.389298915863
2023-02-21,0.0,4.005000114440918,1.6113117852946743,248631,995767.1834535599,995768.7947653452,-1243.1834535598755
2023-02-22,0.0,4.017000198364258,1.6113117852946743,248631,998750.7763195038,998752.3876312891,2983.5928659439087
2023-02-23,0.0,4.007999897003174,1.6113117852946743,248631,996513.0223917961,996514.6337035814,-2237.753927707672
2023-02-24,0.0,4.020999908447266,1.6113117852946743,248631,999745.2282371521,999746.8395489374,3232.2058453559875
2023-02-27,0.0,4.010000228881836,1.6113117852946743,248631,997010.3669071198,997011.978218905,-2734.8613300323486
2023-02-28,0.0,4.014999866485596,1.6113117852946743,248631,998253.4318041801,998255.0431159654,1243.0648970603943
2023-03-01,0.0,4.0289998054504395,1.6113117852946743,248631,1001734.2506289482,1001735.8619407335,3480.8188247680664
2023-03-02,0.0,4.026000022888184,1.6113117852946743,248631,1000988.411690712,1000990.0230024973,-745.8389382362366
2023-03-03,0.0,4.044000148773193,1.6113117852946743,248631,1005463.8009896278,1005465.4123014131,4475.389298915863
2023-03-06,0.0,4.071000099182129,1.6113117852946743,248631,1012176.8256597519,1012178.4369715372,6713.024670124054
2023-03-07,0.0,4.076000213623047,1.6113117852946743,248631,1013420.0091133118,1013421.6204250971,1243.1834535598755
2023-03-08,0.0,4.0329999923706055,1.6113117852946743,248631,1002728.821103096,1002730.4324148813,-10691.18801021576
2023-03-09,0.0,4.0329999923706055,1.6113117852946743,248631,1002728.821103096,1002730.4324148813,0.0
2023-03-10,0.0,4.060999870300293,1.6113117852946743,248631,1009690.4587526321,1009692.0700644174,6961.637649536133
2023-03-13,0.0,4.089000225067139,1.6113117852946743,248631,1016652.2149586678,1016653.826270453,6961.756206035614
2023-03-14,0.0,4.142000198364258,1.6113117852946743,248631,1029829.6513195038,1029831.2626312891,13177.436360836029
2023-03-15,0.0,4.138999938964844,1.6113117852946743,248631,1029083.6938247681,1029085.3051365534,-745.9574947357178
2023-03-16,0.0,4.173999786376953,1.6113117852946743,248631,1037785.7408866882,1037787.3521984735,8702.047061920166
2023-03-17,0.0,4.197999954223633,1.6113117852946743,248631,1043752.926618576,1043754.5379303613,5967.185731887817
2023-03-20,0.0,4.327000141143799,1.6113117852946743,248631,1075826.3720927238,1075827.9834045093,32073.445474147913
2023-03-21,0.0,4.285999774932861,1.6113117852946743,248631,1065632.4100413322,1065634.0213531177,-10193.962051391602
2023-03-22,0.0,4.2230000495910645,1.6113117852946743,248631,1049968.725329876,1049970.3366416614,-15663.684711456299
2023-03-23,0.0,4.252999782562256,1.6113117852946743,248631,1057427.5889382362,1057429.2002500216,7458.8636083602905
2023-03-24,0.0,4.275000095367432,1.6113117852946743,248631,1062897.5487113,1062899.1600230853,5469.95977306366
2023-03-27,0.0,4.245999813079834,1.6113117852946743,248631,1055687.1795258522,1055688.7908376376,-7210.369185447693
2023-03-28,0.0,4.224999904632568,1.6113117852946743,248631,1050465.9512887,1050467.5626004855,-5221.2282371521
2023-03-29,0.0,4.239999771118164,1.6113117852946743,248631,1054195.3830928802,1054196.9944046657,3729.4318041801453
2023-03-30,0.0,4.248000144958496,1.6113117852946743,248631,1056184.5240411758,1056186.1353529613,1989.1409482955933
2023-03-31,0.0,4.281000137329102,1.6113117852946743,248631,1064389.3451442719,1064390.9564560573,8204.821103096008
2023-04-03,-1.0,4.2210001945495605,1048423.639183466,0,0.0,1048423.639183466,-15967.317272591288
2023-04-04,0.0,4.269000053405762,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-06,0.0,4.329999923706055,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-07,0.0,4.328000068664551,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-10,0.0,4.2870001792907715,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-11,0.0,4.310999870300293,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-12,0.0,4.341000080108643,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-13,0.0,4.3460001945495605,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-14,0.0,4.366000175476074,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-17,0.0,4.323999881744385,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-18,0.0,4.304999828338623,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-19,0.0,4.296999931335449,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-20,0.0,4.308000087738037,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-21,0.0,4.288000106811523,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-24,0.0,4.2769999504089355,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-25,0.0,4.315999984741211,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-26,0.0,4.322999954223633,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-27,0.0,4.333000183105469,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-04-28,0.0,4.297999858856201,1048423.639183466,0,0.0,1048423.639183466,0.0
2023-05-04,0.0,4.394999980926514,1048423.639183466,0,0.0,1048423.639183466,0.0
