symbol,quantity,price,type,timestamp,cost,commission,gross_revenue,net_revenue,buy_cost,profit_loss,profit_rate,profit_rate_pct
601398.SS,271496,3.6796061992645264,buy,2021-07-28,999997.3630401973,998.9983646754408,,,,,,
601398.SS,271496,3.655968427658081,sell,2021-08-19,,992.5808042354583,992580.8042354584,991588.223431223,999997.3630401973,-8409.139608974336,-0.008409161783595933,-0.84%
601398.SS,272127,3.640209674835205,buy,2021-08-31,991589.9375220636,990.5993381837616,,,,,,
601398.SS,272127,3.671726942062378,sell,2021-12-29,,999.1760375626087,999176.0375626087,998176.861525046,991589.9375220636,6586.924002982443,0.006642790284301246,0.66%
601398.SS,271873,3.6678154468536377,buy,2022-08-04,998177.1689714213,997.1799889822723,,,,,,
601398.SS,271873,3.6594223976135254,sell,2022-09-14,,994.898145506382,994898.145506382,993903.2473608756,998177.1689714213,-4273.921610545716,-0.0042817264744191745,-0.43%
601398.SS,271953,3.651029109954834,buy,2022-09-30,993901.2278590864,992.9083195393905,,,,,,
601398.SS,271953,3.651029109954834,sell,2022-10-13,,992.9083195395469,992908.319539547,991915.4112200075,993901.2278590864,-1985.8166390788974,-0.0019980019980018007,-0.20%
601398.SS,274566,3.6090633869171143,buy,2022-12-13,991917.0239901766,990.9260978922248,,,,,,
601398.SS,274566,3.6174561977386475,sell,2023-01-03,,993.2304783883095,993230.4783883095,992237.2479099212,991917.0239901766,320.22391974460334,0.0003228333741631343,0.03%
601398.SS,268412,3.692995071411133,buy,2023-03-13,992235.4373007125,991.2441931074718,,,,,,
601398.SS,268412,4.230157852172852,sell,2023-05-19,,1135.4251294174194,1135425.1294174194,1134289.704288002,992235.4373007125,142054.26698728965,0.1431658874971605,14.32%
601398.SS,280685,4.037115573883057,buy,2023-06-27,1134290.942640221,1133.157784855226,,,,,,
601398.SS,280685,4.053901672363281,sell,2023-07-04,,1137.8693909072877,1137869.3909072876,1136731.5215163804,1134290.942640221,2440.5788761593867,0.0021516339277809957,0.22%
601398.SS,278219,4.081655502319336,buy,2023-07-19,1136729.706311983,1135.5941121997312,,,,,,
601398.SS,278219,4.144312858581543,sell,2023-08-29,,1153.0265792016983,1153026.5792016983,1151873.5526224966,1136729.706311983,15143.84631051356,0.013322293089046122,1.33%
601398.SS,268389,4.287528991699219,buy,2023-10-26,1151876.3441717147,1150.725618553115,,,,,,
601398.SS,268389,4.788784980773926,sell,2024-03-06,,1285.2572122049332,1285257.2122049332,1283971.9549927283,1151876.3441717147,132095.61082101357,0.11467863845749883,11.47%
601398.SS,275579,4.654520034790039,buy,2024-03-20,1283970.6646440714,1282.6879766671918,,,,,,
601398.SS,275579,4.770883083343506,sell,2024-04-09,,1314.75518922472,1314755.18922472,1313440.4340354954,1283970.6646440714,29469.769391424023,0.022952058176183735,2.30%
601398.SS,267500,4.905148029327393,buy,2024-05-27,1313439.2249429224,1312.1270978448447,,,,,,
601398.SS,267500,4.8693437576293945,sell,2024-06-11,,1302.549455165863,1302549.455165863,1301246.9057106972,1313439.2249429224,-12192.319232225185,-0.00928274335095712,-0.93%
601398.SS,224475,5.791055202484131,buy,2024-11-07,1301247.0636942028,1299.9471165775321,,,,,,
601398.SS,224475,5.94171667098999,sell,2024-12-11,,1333.7668497204781,1333766.849720478,1332433.0828707577,1301247.0636942028,31186.019176554866,0.02396625517679837,2.40%
601398.SS,207744,6.407410621643066,buy,2025-01-23,1332432.2132947997,1331.101112182485,,,,,,
601398.SS,207744,6.6094465255737305,sell,2025-02-28,,1373.072859008789,1373072.859008789,1371699.7861497803,1332432.2132947997,39267.57285498059,0.029470597050397694,2.95%
601398.SS,207934,6.590205192565918,buy,2025-04-02,1371698.0542375124,1370.327726510819,,,,,,
601398.SS,207934,7.455341815948486,sell,2025-08-25,,1550.2190451574327,1550219.0451574326,1548668.826112275,1371698.0542375124,176970.7718747626,0.12901583648679563,12.90%
