净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2012-08-21,1.0,1.0,,封闭期,封闭期,
2012-08-24,1.0,1.0,0.00%,封闭期,封闭期,
2012-08-31,1.001,1.001,0.10%,封闭期,封闭期,
2012-09-07,1.001,1.001,0.00%,封闭期,封闭期,
2012-09-14,1.002,1.002,0.10%,封闭期,封闭期,
2012-09-21,1.002,1.002,0.00%,封闭期,封闭期,
2012-09-28,1.003,1.003,0.10%,封闭期,封闭期,
2012-10-12,1.004,1.004,0.10%,封闭期,封闭期,
2012-10-19,1.005,1.005,0.10%,封闭期,封闭期,
2012-10-26,1.007,1.007,0.20%,封闭期,封闭期,
2012-10-29,1.007,1.007,0.00%,封闭期,封闭期,
2012-10-30,1.007,1.007,0.00%,开放申购,开放赎回,
2012-10-31,1.007,1.007,0.00%,开放申购,开放赎回,
2012-11-01,1.008,1.008,0.10%,开放申购,开放赎回,
2012-11-02,1.008,1.008,0.00%,开放申购,开放赎回,
2012-11-05,1.008,1.008,0.00%,开放申购,开放赎回,
2012-11-06,1.007,1.007,-0.10%,开放申购,开放赎回,
2012-11-07,1.007,1.007,0.00%,开放申购,开放赎回,
2012-11-08,1.007,1.007,0.00%,开放申购,开放赎回,
2012-11-12,1.006,1.006,-0.10%,开放申购,开放赎回,
2012-11-13,1.005,1.005,-0.10%,开放申购,开放赎回,
2012-11-14,1.005,1.005,0.00%,开放申购,开放赎回,
2012-11-15,1.004,1.004,-0.10%,开放申购,开放赎回,
2012-11-16,1.005,1.005,0.10%,开放申购,开放赎回,
2012-11-19,1.006,1.006,0.10%,开放申购,开放赎回,
2012-11-20,1.005,1.005,-0.10%,开放申购,开放赎回,
2012-11-21,1.006,1.006,0.10%,开放申购,开放赎回,
2012-11-22,1.007,1.007,0.10%,开放申购,开放赎回,
2012-11-23,1.007,1.007,0.00%,开放申购,开放赎回,
2012-11-26,1.007,1.007,0.00%,开放申购,开放赎回,
2012-11-27,1.007,1.007,0.00%,开放申购,开放赎回,
2012-11-28,1.005,1.005,-0.20%,开放申购,开放赎回,
2012-11-29,1.007,1.007,0.20%,开放申购,开放赎回,
2012-11-30,1.008,1.008,0.10%,开放申购,开放赎回,
2012-12-03,1.006,1.006,-0.20%,开放申购,开放赎回,
2012-12-04,1.002,1.002,-0.40%,开放申购,开放赎回,
2012-12-05,1.013,1.013,1.10%,开放申购,开放赎回,
2012-12-06,1.015,1.015,0.20%,开放申购,开放赎回,
2012-12-07,1.015,1.015,0.00%,开放申购,开放赎回,
2012-12-10,1.017,1.017,0.20%,开放申购,开放赎回,
2012-12-11,1.017,1.017,0.00%,开放申购,开放赎回,
2012-12-12,1.022,1.022,0.49%,开放申购,开放赎回,
2012-12-13,1.021,1.021,-0.10%,开放申购,开放赎回,
2012-12-14,1.026,1.026,0.49%,开放申购,开放赎回,
2012-12-17,1.025,1.025,-0.10%,开放申购,开放赎回,
2012-12-18,1.025,1.025,0.00%,开放申购,开放赎回,
2012-12-19,1.028,1.028,0.29%,开放申购,开放赎回,
2012-12-20,1.029,1.029,0.10%,开放申购,开放赎回,
2012-12-21,1.025,1.025,-0.39%,开放申购,开放赎回,
2012-12-24,1.027,1.027,0.20%,开放申购,开放赎回,
2012-12-27,1.031,1.031,0.39%,开放申购,开放赎回,
2012-12-28,1.031,1.031,0.00%,开放申购,开放赎回,
2012-12-31,1.03,1.03,-0.10%,开放申购,开放赎回,
2013-01-04,1.05,1.05,1.94%,开放申购,开放赎回,
2013-01-07,1.05,1.05,0.00%,开放申购,开放赎回,
2013-01-08,1.043,1.043,-0.67%,开放申购,开放赎回,
2013-01-09,1.046,1.046,0.29%,开放申购,开放赎回,
2013-01-10,1.049,1.049,0.29%,开放申购,开放赎回,
2013-01-11,1.045,1.045,-0.38%,开放申购,开放赎回,
2013-01-14,1.049,1.049,0.38%,开放申购,开放赎回,
2013-01-15,1.048,1.048,-0.10%,开放申购,开放赎回,
2013-01-16,1.049,1.049,0.10%,开放申购,开放赎回,
2013-01-17,1.048,1.048,-0.10%,开放申购,开放赎回,
2013-01-18,1.056,1.056,0.76%,开放申购,开放赎回,
2013-01-21,1.057,1.057,0.09%,开放申购,开放赎回,
2013-01-22,1.059,1.059,0.19%,开放申购,开放赎回,
2013-01-23,1.057,1.057,-0.19%,开放申购,开放赎回,
2013-01-24,1.056,1.056,-0.09%,开放申购,开放赎回,
2013-01-25,1.056,1.056,0.00%,开放申购,开放赎回,
2013-01-28,1.06,1.06,0.38%,开放申购,开放赎回,
2013-01-29,1.059,1.059,-0.09%,开放申购,开放赎回,
2013-01-30,1.064,1.064,0.47%,开放申购,开放赎回,
2013-01-31,1.061,1.061,-0.28%,开放申购,开放赎回,
2013-02-01,1.061,1.061,0.00%,开放申购,开放赎回,
2013-02-04,1.059,1.059,-0.19%,开放申购,开放赎回,
2013-02-05,1.038,1.038,-1.98%,开放申购,开放赎回,
2013-02-06,1.043,1.043,0.48%,开放申购,开放赎回,
2013-02-07,1.039,1.039,-0.38%,开放申购,开放赎回,
2013-02-08,1.039,1.039,0.00%,开放申购,开放赎回,
2013-02-18,1.046,1.046,0.67%,开放申购,开放赎回,
2013-02-19,1.037,1.037,-0.86%,开放申购,开放赎回,
2013-02-20,1.043,1.043,0.58%,开放申购,开放赎回,
2013-02-21,1.027,1.027,-1.53%,开放申购,开放赎回,
2013-02-22,1.022,1.022,-0.49%,开放申购,开放赎回,
2013-02-25,1.024,1.024,0.20%,开放申购,开放赎回,
2013-02-26,1.011,1.011,-1.27%,开放申购,开放赎回,
2013-02-27,1.013,1.013,0.20%,开放申购,开放赎回,
2013-02-28,1.03,1.03,1.68%,开放申购,开放赎回,
2013-03-01,1.025,1.025,-0.49%,开放申购,开放赎回,
2013-03-04,1.011,1.011,-1.37%,开放申购,开放赎回,
